algoritmo,tamano,tiempo,complejidad
busqueda_lineal,15,0.0,O(n)
busqueda_lineal,60,0.00033354759216308594,O(n)
busqueda_lineal,120,0.0,O(n)
busqueda_lineal,240,0.0,O(n)
busqueda_lineal,480,0.0,O(n)
busqueda_lineal,960,0.0,O(n)
busqueda_binaria,15,0.0,O(log n)
busqueda_binaria,60,0.0,O(log n)
busqueda_binaria,120,0.0,O(log n)
busqueda_binaria,240,0.0,O(log n)
busqueda_binaria,480,0.0,O(log n)
busqueda_binaria,960,0.0,O(log n)
bubble_sort,15,0.0,O(n^2)
bubble_sort,60,0.0006678104400634766,O(n^2)
bubble_sort,120,0.002334753672281901,O(n^2)
bubble_sort,240,0.023701588312784832,O(n^2)
bubble_sort,480,0.07711267471313477,O(n^2)
bubble_sort,960,0.42161909739176434,O(n^2)
merge_sort,15,0.0,O(n log n)
merge_sort,60,0.0003341833750406901,O(n log n)
merge_sort,120,0.0006680488586425781,O(n log n)
merge_sort,240,0.005007505416870117,O(n log n)
merge_sort,480,0.00600886344909668,O(n log n)
merge_sort,960,0.026372512181599934,O(n log n)
quick_sort,15,0.0003330707550048828,O(n log n)
quick_sort,60,0.0,O(n log n)
quick_sort,120,0.0003337860107421875,O(n log n)
quick_sort,240,0.0016693274180094402,O(n log n)
quick_sort,480,0.006008625030517578,O(n log n)
quick_sort,960,0.014687299728393555,O(n log n)
dijkstra,15,0.0003345807393391927,O(n^2)
dijkstra,60,0.0040051937103271484,O(n^2)
dijkstra,120,0.009012460708618164,O(n^2)
dijkstra,240,0.03304862976074219,O(n^2)
dijkstra,480,0.17559154828389487,O(n^2)
dijkstra,960,1.086260716120402,O(n^2)
