algoritmo,tamano,tiempo,complejidad
busqueda_lineal,15,0.0,O(n)
busqueda_lineal,60,0.0,O(n)
busqueda_lineal,120,0.0,O(n)
busqueda_lineal,240,0.0,O(n)
busqueda_lineal,480,0.0,O(n)
busqueda_lineal,960,0.00033354759216308594,O(n)
busqueda_binaria,15,0.0,O(log n)
busqueda_binaria,60,0.0,O(log n)
busqueda_binaria,120,0.0,O(log n)
busqueda_binaria,240,0.0,O(log n)
busqueda_binaria,480,0.0,O(log n)
busqueda_binaria,960,0.0,O(log n)
bubble_sort,15,0.0,O(n^2)
bubble_sort,60,0.0003348986307779948,O(n^2)
bubble_sort,120,0.002002239227294922,O(n^2)
bubble_sort,240,0.0080110232035319,O(n^2)
bubble_sort,480,0.05774990717569987,O(n^2)
bubble_sort,960,0.18059754371643066,O(n^2)
merge_sort,15,0.0,O(n log n)
merge_sort,60,0.0003349781036376953,O(n log n)
merge_sort,120,0.0006666183471679688,O(n log n)
merge_sort,240,0.00300447146097819,O(n log n)
merge_sort,480,0.0026706059773763022,O(n log n)
merge_sort,960,0.013019402821858725,O(n log n)
quick_sort,15,0.0,O(n log n)
quick_sort,60,0.00033394495646158856,O(n log n)
quick_sort,120,0.0003333091735839844,O(n log n)
quick_sort,240,0.0010023911794026692,O(n log n)
quick_sort,480,0.0016659100850423176,O(n log n)
quick_sort,960,0.006008068720499675,O(n log n)
dijkstra,15,0.0,O(n^2)
dijkstra,60,0.0016698837280273438,O(n^2)
dijkstra,120,0.00867923100789388,O(n^2)
dijkstra,240,0.026705423990885418,O(n^2)
dijkstra,480,0.10448614756266277,O(n^2)
dijkstra,960,0.46901758511861164,O(n^2)
