algoritmo,tamano,tiempo,complejidad,operaciones_reales,operaciones_normalizadas,ratio_ops_tamano,log_operaciones,log_tamano,tiempo_normalizado
busqueda_lineal,10,2.09808349609375e-06,O(n),7,0.06930693069306931,0.7,2.0794415416798357,2.3978952727983707,2.07731039217203e-08
busqueda_lineal,15,1.978874206542969e-06,O(n),11,0.048672566371681415,0.7333333333333333,2.4849066497880004,2.772588722239781,8.756080559924641e-09
busqueda_lineal,20,1.3589859008789063e-06,O(n),7,0.017456359102244388,0.35,2.0794415416798357,3.044522437723423,3.3889922715184694e-09
busqueda_lineal,25,2.7418136596679688e-06,O(n),22,0.03514376996805112,0.88,3.1354942159291497,3.258096538021482,4.379894025028704e-09
busqueda_lineal,30,1.0251998901367187e-06,O(n),3,0.003329633740288568,0.1,1.3862943611198906,3.4339872044851463,1.1378467149131174e-09
busqueda_lineal,50,4.029273986816406e-06,O(n),36,0.014394242303078768,0.72,3.6109179126442243,3.9318256327243257,1.6110651686590988e-09
busqueda_lineal,75,2.1696090698242187e-06,O(n),16,0.0028439388553146107,0.21333333333333335,2.833213344056216,4.330733340286331,3.856397209072554e-10
busqueda_lineal,100,9.083747863769532e-06,O(n),84,0.008399160083991601,0.84,4.442651256490317,4.61512051684126,9.08283957981155e-10
busqueda_lineal,150,7.799693516322545e-06,O(n),63,0.002799875561086174,0.42,4.1588830833596715,5.017279836814924,3.4663763905259963e-10
busqueda_lineal,200,1.0320118495396205e-05,O(n),145,0.0036249093772655686,0.725,4.983606621708336,5.303304908059076,2.579965124720933e-10
busqueda_lineal,210,7.050377982003349e-06,O(n),57,0.0012924876986916396,0.2714285714285714,4.060443010546419,5.351858133476067,1.5986889145378446e-10
busqueda_lineal,350,1.0967254638671875e-05,O(n),147,0.0011999902041615986,0.42,4.997212273764115,5.860786223465865,8.952787845545649e-11
busqueda_lineal,400,2.0074844360351563e-05,O(n),299,0.0018687383203854976,0.7475,5.703782474656201,5.993961427306569,1.254669930834905e-10
busqueda_lineal,450,1.8596649169921875e-05,O(n),273,0.0013481414906593055,0.6066666666666667,5.6131281063880705,6.111467339502679,9.183485103738685e-11
busqueda_lineal,550,3.9577484130859375e-05,O(n),529,0.001748754549571737,0.9618181818181818,6.272877006546167,6.311734809152915,1.3083422577399539e-10
busqueda_lineal,660,3.404617309570313e-05,O(n),484,0.0011111085603568403,0.7333333333333333,6.184148890937483,6.493753839851686,7.815907928517871e-11
busqueda_binaria,10,2.288818359375e-06,O(log n),17,0.16831683168316833,1.7,2.8903717578961645,2.3978952727983707,2.266156791460396e-08
busqueda_binaria,15,1.1205673217773438e-06,O(log n),17,0.0752212389380531,1.1333333333333333,2.8903717578961645,2.772588722239781,4.958262485740459e-09
busqueda_binaria,20,1.3113021850585938e-06,O(log n),23,0.057356608478802994,1.15,3.1780538303479458,3.044522437723423,3.2700802619915054e-09
busqueda_binaria,25,1.931190490722656e-06,O(log n),23,0.036741214057507986,0.92,3.1780538303479458,3.258096538021482,3.0849688350202174e-09
busqueda_binaria,30,2.288818359375e-06,O(log n),29,0.03218645948945616,0.9666666666666667,3.4011973816621555,3.4339872044851463,2.5403089449223083e-09
busqueda_binaria,50,1.5974044799804688e-06,O(log n),29,0.011595361855257898,0.58,3.4011973816621555,3.9318256327243257,6.387063094684001e-10
busqueda_binaria,75,1.5974044799804688e-06,O(log n),17,0.003021685033771774,0.22666666666666666,2.8903717578961645,4.330733340286331,2.8393254176688034e-10
busqueda_binaria,100,2.002716064453125e-06,O(log n),41,0.0040995900409959,0.41,3.7376696182833684,4.61512051684126,2.0025158128718378e-10
busqueda_binaria,150,2.0435878208705357e-06,O(log n),41,0.0018221412381671926,0.2733333333333333,3.7376696182833684,5.017279836814924,9.082208883474226e-11
busqueda_binaria,200,2.2138868059430805e-06,O(log n),41,0.001024974375640609,0.205,3.7376696182833684,5.303304908059076,5.5345786503914415e-11
busqueda_binaria,210,2.282006399972098e-06,O(log n),47,0.0010657354708510011,0.22380952380952382,3.871201010907891,5.351858133476067,5.1745003514026854e-11
busqueda_binaria,350,2.765655517578125e-06,O(log n),47,0.0003836703373850009,0.13428571428571429,3.871201010907891,5.860786223465865,2.2576595436593375e-11
busqueda_binaria,400,2.3365020751953127e-06,O(log n),41,0.0002562483984475097,0.1025,3.7376696182833684,5.993961427306569,1.4603046700928825e-11
busqueda_binaria,450,2.47955322265625e-06,O(log n),47,0.00023209761927101593,0.10444444444444445,3.871201010907891,6.111467339502679,1.2244646804984914e-11
busqueda_binaria,550,2.384185791015625e-06,O(log n),41,0.00013553674202729907,0.07454545454545454,3.7376696182833684,6.311734809152915,7.881579865903336e-12
busqueda_binaria,660,4.76837158203125e-06,O(log n),59,0.00013544505177903631,0.0893939393939394,4.0943445622221,6.493753839851686,1.094664975982895e-11
bubble_sort,10,1.4972686767578124e-05,O(n^2),154,1.5247524752475248,15.4,5.043425116919247,2.3978952727983707,1.4824442344136757e-07
bubble_sort,15,2.4938583374023436e-05,O(n^2),313,1.3849557522123894,20.866666666666667,5.749392985908253,2.772588722239781,1.1034771404435149e-07
bubble_sort,20,5.22613525390625e-05,O(n^2),582,1.4513715710723192,29.1,6.368187186350492,3.044522437723423,1.3032756244155237e-07
bubble_sort,25,7.200241088867188e-05,O(n^2),869,1.3881789137380192,34.76,6.76849321164863,3.258096538021482,1.1501982570075379e-07
